epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
24,2020-06-10,14,BA,Iguaí,2913507,city,9,33.43736,1,0,0,0.0,26916,False,False
24,2020-06-10,78,BA,Ilhéus,2913606,city,754,464.49451,31,36,0,0.0477,162327,False,False
24,2020-06-10,79,BA,Importados/Indefinidos,,city,1085,,218,4,0,0.0037,,False,False
24,2020-06-10,27,BA,Inhambupe,2913705,city,4,10.01853,1,0,0,0.0,39926,False,False
24,2020-06-10,27,BA,Ipecaetá,2913804,city,3,20.70822,0,0,0,0.0,14487,False,False
24,2020-06-10,76,BA,Ipiaú,2913903,city,391,852.35324,36,7,0,0.0179,45873,False,False
24,2020-06-10,52,BA,Ipirá,2914000,city,19,31.88187,0,1,0,0.0526,59595,False,False
24,2020-06-10,6,BA,Iramaia,2914307,city,2,23.42743,1,0,0,0.0,8537,False,False
24,2020-06-10,31,BA,Irará,2914505,city,10,34.44238,0,0,0,0.0,29034,False,False
24,2020-06-10,57,BA,Irecê,2914604,city,29,39.74399,2,0,0,0.0,72967,False,False
24,2020-06-10,52,BA,Itabela,2914653,city,24,78.4724,4,0,0,0.0,30584,False,False
24,2020-06-10,52,BA,Itaberaba,2914703,city,62,96.14043,3,2,0,0.0323,64489,False,False
24,2020-06-10,84,BA,Itabuna,2914802,city,1250,586.2407,56,34,0,0.0272,213223,False,False
24,2020-06-10,47,BA,Itacaré,2914901,city,46,162.56715,4,2,0,0.0435,28296,False,False
24,2020-06-10,20,BA,Itaeté,2915007,city,41,255.35625,0,0,0,0.0,16056,False,False
24,2020-06-10,64,BA,Itagi,2915106,city,9,72.86859,1,0,0,0.0,12351,False,False
24,2020-06-10,75,BA,Itagibá,2915205,city,28,192.05707,1,1,0,0.0357,14579,False,False
24,2020-06-10,72,BA,Itajuípe,2915502,city,170,829.63252,15,1,0,0.0059,20491,False,False
24,2020-06-10,74,BA,Itamaraju,2915601,city,214,331.85498,15,3,0,0.014,64486,False,False
24,2020-06-10,52,BA,Itamari,2915700,city,0,,0,0,0,0.0,8035,False,False
24,2020-06-10,21,BA,Itanagra,2915908,city,8,124.20432,1,1,0,0.125,6441,False,False
24,2020-06-10,19,BA,Itanhém,2916005,city,6,30.91987,0,0,0,0.0,19405,False,False
24,2020-06-10,46,BA,Itaparica,2916104,city,39,175.45438,1,3,0,0.0769,22228,False,False
24,2020-06-10,59,BA,Itapé,2916203,city,10,114.14222,1,2,0,0.2,8761,False,False
24,2020-06-10,63,BA,Itapebi,2916302,city,8,77.98031,1,0,0,0.0,10259,False,False
24,2020-06-10,68,BA,Itapetinga,2916401,city,22,28.89149,3,3,0,0.1364,76147,False,False
24,2020-06-10,32,BA,Itapicuru,2916500,city,35,98.38093,2,0,0,0.0,35576,False,False
